transaction_id,customer_id,transaction_amount,transaction_date,transaction_count,region,transaction_status
TXN_0000001,CUST_01127,1162.4,2024-06-06,4,West,Success
TXN_0000002,CUST_00861,882.07,2024-10-04,4,North,Success
TXN_0000003,CUST_01131,5281.28,2024-07-21,8,West,Success
TXN_0000004,CUST_01096,1398.36,2024-03-06,3,South,Success
TXN_0000005,CUST_01045,2287.15,2024-04-17,5,East,Fail
TXN_0000006,CUST_00122,4744.03,2024-09-24,3,East,Success
TXN_0000007,CUST_00467,1499.06,2024-08-09,6,North,Success
TXN_0000008,CUST_00331,2128.68,2024-10-18,4,East,Success
TXN_0000009,CUST_00088,2179.27,2024-01-18,5,North,Success
TXN_0000010,CUST_01124,3814.86,2024-03-30,6,North,Success
TXN_0000011,CUST_00872,3542.53,2024-06-29,2,West,Success
TXN_0000012,CUST_00131,1851.79,2024-09-11,4,South,Success
TXN_0000013,CUST_00770,2323.71,2024-09-09,4,South,Success
TXN_0000014,CUST_00344,1640.21,2024-09-13,3,South,Success
TXN_0000015,CUST_00806,677.16,2024-12-11,6,South,Success
TXN_0000016,CUST_00386,2713.73,2024-03-27,3,West,Success
TXN_0000017,CUST_00956,10034.19,2024-03-30,7,South,Success
TXN_0000018,CUST_00277,1089.01,2024-08-24,3,South,Success
TXN_0000019,CUST_01185,1189.84,2024-03-10,4,East,Success
TXN_0000020,CUST_00460,1100.39,2024-02-13,7,South,Success
TXN_0000021,CUST_00022,3942.91,2024-07-18,7,South,Success
TXN_0000022,CUST_00253,3161.46,2024-05-31,3,North,Success
TXN_0000023,CUST_00748,1945.3,2024-03-26,4,North,Success
TXN_0000024,CUST_00857,1059.53,2024-01-19,4,South,Fail
TXN_0000025,CUST_00475,2377.73,2024-04-10,7,North,Success
TXN_0000026,CUST_01083,631.63,2024-04-04,1,East,Success
TXN_0000027,CUST_00511,2476.85,2024-09-10,2,East,Success
TXN_0000028,CUST_00700,4434.72,2024-12-22,8,East,Success
TXN_0000029,CUST_00976,811.63,2024-01-30,7,West,Success
